tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,"preciptype_freezingrain,snow,ice",preciptype_rain,"preciptype_rain,freezingrain","preciptype_rain,freezingrain,ice","preciptype_rain,freezingrain,snow","preciptype_rain,freezingrain,snow,ice","preciptype_rain,snow","preciptype_rain,snow,ice",preciptype_snow,preciptype_unknown
10.0,13.4,17.8,8.3,13.4,9.3,76.6,0.0,0,0.0,0.0,0.0,73.8,20.2,232.8,1018.0,58.2,15.7,143.3,12.3,6,10.0,2024-05-13T05:40:25,2024-05-13T20:05:02,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.9,10.6,13.0,6.6,10.3,8.7,87.9,9.585,100,29.17,0.0,0.0,22.3,12.5,98.7,1014.4,90.4,8.7,16.2,1.5,1,10.0,2023-01-03T07:20:21,2023-01-03T16:40:53,0.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,10.8,14.2,4.5,9.7,-0.2,48.2,0.0,0,0.0,0.0,0.0,46.8,16.6,229.4,1014.7,6.2,16.0,124.3,10.6,5,10.0,2022-10-20T07:12:41,2022-10-20T18:08:19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.3,10.7,12.8,7.7,10.3,6.6,75.9,0.061,100,16.67,0.0,0.0,72.0,26.6,33.1,1010.9,95.6,16.0,89.3,7.9,5,10.0,2023-05-04T05:51:11,2023-05-04T19:55:12,0.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.9,22.5,26.2,18.9,22.5,16.0,67.4,0.0,0,0.0,0.0,0.0,66.6,14.8,128.7,1016.0,17.3,15.2,304.5,26.3,10,10.0,2024-06-04T05:25:52,2024-06-04T20:23:33,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.2,20.8,24.3,17.2,20.8,10.2,51.1,0.0,0,0.0,0.0,0.0,74.9,16.7,267.4,1004.8,55.0,15.9,300.5,26.0,10,10.0,2024-06-10T05:24:34,2024-06-10T20:27:01,0.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,11.6,15.6,6.6,11.2,8.1,80.5,10.865,100,33.33,0.0,0.0,65.5,34.4,209.4,1010.7,82.8,10.8,42.8,3.7,3,10.0,2021-12-06T07:05:56,2021-12-06T16:28:25,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,10.2,14.4,6.2,9.4,7.8,85.5,0.0,0,0.0,0.0,0.0,18.4,12.6,265.6,1016.6,56.5,11.4,77.5,6.8,5,10.0,2023-12-02T07:01:37,2023-12-02T16:29:04,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,4.9,5.3,-0.2,2.3,1.5,80.3,0.692,100,45.83,0.1,0.0,44.3,18.6,26.5,1008.3,97.0,15.7,64.7,5.7,4,10.0,2023-03-11T06:14:28,2023-03-11T17:58:19,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,7.3,11.6,2.5,5.7,-5.7,39.9,0.23,100,4.17,0.0,0.0,85.0,16.2,299.4,1017.6,23.3,16.0,199.7,17.4,7,10.0,2022-03-08T06:18:54,2022-03-08T17:55:16,0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,26.7,30.7,22.1,26.4,15.3,52.2,0.0,0,0.0,0.0,0.0,24.1,20.5,289.6,1013.7,19.2,16.0,252.3,21.7,9,10.0,2022-08-24T06:15:12,2022-08-24T19:40:52,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.4,9.1,12.9,4.5,8.3,-4.9,37.1,0.0,0,0.0,0.0,0.0,33.5,16.3,317.3,1023.2,0.9,16.0,112.7,9.7,5,10.0,2022-11-23T06:52:11,2022-11-23T16:32:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,12.4,15.7,6.8,12.1,4.9,62.1,0.041,100,12.5,0.0,0.0,35.1,27.2,55.4,1020.5,51.1,16.0,103.4,8.9,8,10.0,2024-04-17T06:13:25,2024-04-17T19:38:15,0.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,5.0,8.8,-2.2,3.0,-3.9,53.8,0.0,0,0.0,0.0,0.0,83.2,18.0,44.1,1025.8,0.6,16.0,152.8,13.2,6,10.0,2024-02-07T07:00:16,2024-02-07T17:20:38,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.5,5.5,3.8,-0.9,1.6,3.9,89.6,20.424,100,95.83,0.0,0.0,55.4,30.9,37.5,1004.3,100.0,8.2,18.9,1.8,1,10.0,2022-12-16T07:13:46,2022-12-16T16:29:43,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.4,21.6,23.3,19.4,21.6,17.1,75.5,0.36,100,20.83,0.0,0.0,70.2,21.5,163.7,1018.0,98.8,15.5,0.0,0.0,0,10.0,2023-08-24T06:14:58,2023-08-24T19:41:15,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.7,3.2,-1.0,1.1,-2.8,59.9,0.0,0,0.0,0.0,0.0,46.4,27.7,276.8,1006.5,71.7,16.0,64.5,5.5,4,10.0,2022-12-17T07:14:25,2022-12-17T16:30:03,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
