ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-06-13,18.239690259945757,19.711797475708682,29.922301207348568,18.239690259945757,18.239690259945757,6.31605219890661,6.31605219890661,6.31605219890661,-0.5168111669973945,-0.5168111669973945,-0.5168111669973945,6.832863365904005,6.832863365904005,6.832863365904005,0.0,0.0,0.0,24.555742458852368
2023-06-14,18.2403889715421,20.189320407660485,30.499834613933427,18.2403889715421,18.2403889715421,7.042925137511763,7.042925137511763,7.042925137511763,0.19024821636159525,0.19024821636159525,0.19024821636159525,6.8526769211501675,6.8526769211501675,6.8526769211501675,0.0,0.0,0.0,25.283314109053862
2023-06-15,18.241087683138442,20.354255546959898,30.461842572532987,18.241087683138442,18.241087683138442,7.430828830279597,7.430828830279597,7.430828830279597,0.5321750090005111,0.5321750090005111,0.5321750090005111,6.898653821279086,6.898653821279086,6.898653821279086,0.0,0.0,0.0,25.67191651341804
2023-06-16,18.24178639473478,20.66846404808692,30.960600830283298,18.24178639473478,18.24178639473478,7.609445061727006,7.609445061727006,7.609445061727006,0.6371528917440283,0.6371528917440283,0.6371528917440283,6.9722921699829765,6.9722921699829765,6.9722921699829765,0.0,0.0,0.0,25.851231456461786
2023-06-17,18.242485106565397,20.039993651968835,30.22184212034258,18.242485106565397,18.242485106565397,6.7921135685694285,6.7921135685694285,6.7921135685694285,-0.28233850223443974,-0.28233850223443974,-0.28233850223443974,7.0744520708038685,7.0744520708038685,7.0744520708038685,0.0,0.0,0.0,25.034598675134824
2023-06-18,18.24318381839601,19.893962878294516,30.006868769684715,18.24318381839601,18.24318381839601,6.964359741143144,6.964359741143144,6.964359741143144,-0.24098607270296302,-0.24098607270296302,-0.24098607270296302,7.205345813846106,7.205345813846106,7.205345813846106,0.0,0.0,0.0,25.207543559539154
2023-06-19,18.24388253022662,20.230984893672062,30.05693228275008,18.24388253022662,18.24388253022662,7.0451030699790165,7.0451030699790165,7.0451030699790165,-0.31944037516986207,-0.31944037516986207,-0.31944037516986207,7.364543445148879,7.364543445148879,7.364543445148879,0.0,0.0,0.0,25.28898560020564
2023-06-20,18.244581242057237,20.330585403781644,30.495226941596332,18.244581242057237,18.244581242057237,7.034182206927516,7.034182206927516,7.034182206927516,-0.5168111669975549,-0.5168111669975549,-0.5168111669975549,7.550993373925071,7.550993373925071,7.550993373925071,0.0,0.0,0.0,25.278763448984755
2023-06-21,18.24527995388785,21.012608553815483,31.62429785521403,18.24527995388785,18.24527995388785,7.953305504989913,7.953305504989913,7.953305504989913,0.1902482163616295,0.1902482163616295,0.1902482163616295,7.763057288628284,7.763057288628284,7.763057288628284,0.0,0.0,0.0,26.198585458877762
2023-06-22,18.245978665718464,21.642319576110285,31.72997196861822,18.245978665718464,18.245978665718464,8.530733300094244,8.530733300094244,8.530733300094244,0.5321750089994852,0.5321750089994852,0.5321750089994852,7.998558291094759,7.998558291094759,7.998558291094759,0.0,0.0,0.0,26.77671196581271
